ID,Labels,S-single,S-multi,,
119,0,0.613324775,0.524340801,,
120,0,0.708117915,0.626950651,,
121,0,0.536815161,0.459475369,,
122,0,0.513892139,0.613393172,,
123,0,0.505724924,0.501288818,,
124,0,0.368194216,0.313846309,,
125,0,0.413132141,0.504545758,,
126,0,0.516938736,0.544279686,,
127,0,0.785417261,0.834289362,,
128,0,0.689458178,0.598032991,,
129,0,0.5773503,0.435269623,,
130,0,0.742122176,0.789415778,,
131,0,0.60889883,0.572870627,,
132,0,0.602829856,0.658684402,,
133,0,0.882030987,0.858086117,,
134,0,0.775261244,0.658711306,,
135,0,0.764126103,0.672032698,,
136,0,0.614625262,0.536259637,,
137,0,0.755715206,0.555176752,,
138,0,0.641770835,0.513634818,,
139,0,0.456066624,0.324139053,,
140,0,0.62746633,0.590145015,,
141,0,0.476108316,0.551080532,,
142,0,0.595482264,0.622708632,,
143,0,0.453053756,0.380921093,,
144,0,0.48480559,0.411091979,,
145,0,0.447395155,0.354264898,,
146,0,0.814903555,0.744424882,,
147,0,0.693298473,0.549436421,,
148,0,0.758349555,0.592455475,,
149,0,0.56985026,0.441466288,,
150,0,0.701381252,0.680322511,,
151,0,0.75184208,0.689857677,,
152,0,0.458966793,0.358493003,,
153,0,0.609641634,0.399435723,,
154,0,0.728805782,0.627070775,,
155,0,0.556916348,0,,39 and 40
156,0,0.973281239,0.967565455,,
157,0,0.69446277,0.608574766,,
158,0,0.692755227,0.586035848,,
159,0,0.963883917,0.971035573,,
160,0,0.019509046,0,,
161,0,0.127126746,0.031664381,,
162,0,0.085701584,0,,
163,0,0.125690973,0.02768409,,
164,0,0.774169576,0.791606676,,
165,0,0.860780979,0.861583786,,
166,0,0.769306218,0.804327537,,
167,0,0.945254275,0.95351669,,
168,0,0.986316903,0.983580783,,
169,0,0.941873684,0.946247535,,
170,0,0.898440048,0.876249437,,
171,0,0.325183025,0,,
172,0,0.236163794,0,,
173,0,0.351909266,0.206362524,,
174,0,0.268022365,0,,
175,0,0.328447039,0.211402995,,
176,0,0.248984792,0,,
177,0,0.036992642,0.033492322,,
178,0,0.354176291,0.242344443,,
179,0,0.289136752,0.188271004,,
180,0,0.384493241,0.273061716,,
181,0,0.308654074,0.200638886,,
182,0,0.375313736,0.296507246,,
183,0,0.292773652,0.196639079,,
184,0,0.056421597,0.040826773,,
185,0,0.971953605,0.966395012,,
186,0,0.98091954,0.952051794,,
187,0,0.940037774,0.935019008,,
188,0,0.91984722,0.8977166,,
189,0,0.738504027,0.822290686,,
190,0,0.123277619,0,,
191,0,0.95813721,0.932337476,,
192,0,0.935043885,0.920547877,,
193,0,0.924720612,0.897543336,,
194,0,0.715314779,0.81561357,,
195,0,0.103495624,0,,
196,0,0.92366966,0.867194057,,
197,0,0.910371383,0.832075935,,
198,0,0.737721832,0.795062322,,
199,0,0.116622707,0.062613647,,
200,0,0.969269307,0.96175008,,
201,0,0.752257953,0.822666949,,
202,0,0.08839288,0,,
203,0,0.732519443,0.791868559,,
204,0,0.083188776,0,,
205,0,0.010364584,0,,
206,0,0.076388344,0,,
207,0,0.227964797,0.102416651,,
208,0,0.074700612,0,,
209,0,0.059358547,0,,
210,0,0.036310046,0,,
211,0,0.048878964,0,,
212,0,0.138797883,0,,
213,0,0.890151422,0.911079035,,
214,0,0.629654537,0.714235368,,
215,0,0.073482427,0,,
216,0,0.074284377,0,,
217,0,0.101595331,0,,
218,0,0.077371482,0,,
219,0,0.138009256,0.087873531,,
220,0,0.150834774,0.108056404,,
221,0,0.68971565,0.770754184,,
222,0,0.043001925,0,,
223,0,0.04902343,0,,
224,0,0.064511701,0,,
225,0,0.084474873,0,,
226,0,0.893524305,0.881326414,,
227,0,0.965643826,0.962924418,,
228,0,0.07995866,0.032673299,,
229,0,0.054305377,0,,
230,0,0.373442496,0.296726301,,
231,0,0.957680871,0.971763132,,
232,0,0.280763141,0,,
233,0,0.930036559,0.887718604,,
234,0,0.843975421,0.754074502,,
235,0,0.199549182,0.11472758,,
236,0,0.063543648,0.036380277,,
237,0,0.040033858,0.035331653,,
238,0,0.04697073,0,,
239,0,0.26907178,0.153618871,,
240,0,0.220745074,0,,
241,0,0.033854383,0,,
242,0,0.009233698,0,,
243,0,0.018378816,0,,
244,0,0,0,,
245,0,0.881662651,0.86220522,,
246,0,0.279211703,0.223701948,,
247,0,0.069338425,0.052955522,,
248,0,0.051901699,0.056119597,,
249,0,0.047881593,0,,
250,0,0.389862458,0.390209145,,
251,0,0.048695416,0.049959654,,
252,0,0.037021803,0.054535146,,
253,0,0.034512377,0,,
254,0,0.062135649,0.03431591,,
255,0,0.060737905,0.038317572,,
256,0,0.053696714,0,,
257,0,0.973681412,0.9829307,,
258,0,0.957685693,0.941749745,,
259,0,0.945006444,0.918838365,,
260,0,0.890272008,0.838294667,,
261,0,0.048451136,0.032762729,,
262,0,0.055083339,0.076470243,,
263,0,0.011394524,0,,
264,0,0.290748086,0.134553132,,
265,0,0.322749699,0.149466722,,
266,0,0.067873771,0.046053406,,
267,0,0.061157597,0.072586813,,
268,0,0.013719871,0,,
269,0,0.298903208,0.135579434,,
270,0,0.316839118,0.156942526,,
271,0,0.921694418,0.887738781,,
272,0,0.900533597,0.874284677,,
273,0,0.536440771,0.528940407,,
274,0,0.492261333,0.496342765,,
275,0,0.969149673,0.943261113,,
276,0,0.352626349,0.295819844,,
277,0,0.287006765,0.243143142,,
278,0,0.282761272,0.242248747,,
279,0,0.254129674,0.231515015,,
280,0,0.897442037,0.876463638,,
281,0,0.86044522,0.865840788,,
282,0,0.977495123,0.969882324,,
283,0,0.850436655,0.828293519,,
284,0,0.900758388,0.930316286,,
285,0,0.931344582,0.920552962,,
286,0,0.120956459,0.090058478,,
287,0,0.130735256,0.11764248,,
288,0,0.873272024,0.805406875,,
289,0,0.946419704,0.958268931,,
290,0,0.967499393,0.971401539,,
291,0,0.355974513,0.367726892,,
292,0,0.200907579,0.22904976,,
293,0,0.079341125,0.053154534,,
294,0,0.092207726,0.06261335,,
295,0,0.356796608,0.432702013,,
296,0,0.043180758,0.052444028,,
297,0,0.049690691,0.06691125,,
